[nation]wallenho[/nation] - Mikaela
[nation]garembraliebery[/nation] - Marley
[nation]united_prialia_priocia[/nation] - Tobias
[nation]the_democratic_nation_of_wallows[/nation] - Maggie
[nation]Eaqua[/nation] - Rachel
[nation]brondolia[/nation] - Bryson
[nation][/nation] - Victoria
[nation][/nation] - Landon
[nation][/nation] - Nolan
[nation][/nation] - Nate 
[nation][/nation] - Adin
[nation][/nation] - Aodhan
[nation][/nation] - Aiden
[nation][/nation] - Brock
[nation][/nation] - Deklin
[nation]Qwerty2012[/nation] - Mr. Kibbe
